query_name	current_consumers	current_repository_or_service	current_source_of_truth	ui_reads_repository_directly	cache_suitability	stale_tolerance	display_mode	proposed_application_boundary	future_cloud_local_behavior
GetProductCatalogQuery	Products; sales; purchases; inventory; dashboard; reports	ProductCatalogReadRepository (DriftProductCatalogReadRepository)	SQLite Products	Yes in several screens/services	High	Minutes for browsing; zero at command validation	confirmed plus clearly marked provisional catalog edits	ProductCatalogQueries.getCatalog(GetProductCatalogQuery)	Cache-first confirmed; optional provisional overlay; command validation rechecks server version
GetInventoryPositionQuery	Inventory; stocktake; dashboard; profitability	InventoryRepository.allProductBalancesKg plus ProductCatalogReadRepository	Derived from SQLite InventoryMovements	Yes	High	Short for dashboard; zero for posting/stocktake commit	confirmed and provisional overlay separated	InventoryQueries.getPosition(GetInventoryPositionQuery)	Hybrid cache plus outbox overlay; forced server refresh for authoritative commit checks
GetStockLedgerQuery	Inventory screen and adjustment report	InventoryRepository.listAllMovements/listMovementsByProduct	SQLite InventoryMovements	Via controller and direct repository construction	High	Minutes for browsing	both, with status per movement	InventoryQueries.getLedger(GetStockLedgerQuery)	Cached confirmed ledger plus ordered provisional overlay; server refresh option
GetInventoryValuationQuery	Profitability and inventory controllers	InventoryValuationRepository	SQLite valuation state/events	Yes	Medium	Low for financial reports	server/cached confirmed by default; provisional only in labeled operational view	InventoryValuationQueries.getPosition	Cloud-confirmed financial view; local overlay excluded unless explicitly requested
GetCustomersQuery	Customers; sales; alerts; financial reports	CustomerRepository	SQLite Customers	Yes	High	Minutes	both if provisional customers are labeled	CustomerQueries.getCustomers	Cache-first confirmed plus provisional master-data overlay
GetCustomerStatementQuery	Customers and printable/export views	CustomerAccountRepository.statementForCustomer	SQLite customer account payload tables and financial references	Via controller and some direct consumers	High	Low for official statement	confirmed default; optional labeled provisional section	CustomerAccountQueries.getStatement	Cached-confirmed allowed with freshness; overlay opt-in; forced server refresh for official export
GetCustomerBalancesQuery	Customers; dashboard; alerts	CustomerAccountRepository.balancesByCustomerId/balanceForCustomer	Derived from SQLite customer entries/collections/advances	Yes	High	Short for dashboard; low before payment	both with confirmed/provisional totals separated	CustomerAccountQueries.getBalances	Hybrid aggregate with provenance; server recheck for mutation preconditions
GetCustomerAdvancesQuery	Customer advance actions and financial reports	CustomerAccountRepository listAdvances/applications/refunds	SQLite customer advance payload tables	Through controller and direct report readers	High	Short	both with per-item status	CustomerAccountQueries.getAdvances	Cache plus provisional overlay; server confirms remaining amount before mutation
GetSuppliersQuery	Suppliers; purchases; alerts; financial reports	SupplierRepository	SQLite Suppliers	Yes	High	Minutes	both if labeled	SupplierQueries.getSuppliers	Cache-first confirmed plus provisional master-data overlay
GetSupplierStatementQuery	Supplier statement; purchases; printable/export views	SupplierAccountRepository.statementForSupplier	SQLite supplier account payload tables	Yes	High	Low for official statement	confirmed default; optional labeled provisional section	SupplierAccountQueries.getStatement	Cached-confirmed allowed with freshness; forced server refresh for official export
GetSupplierBalancesQuery	Suppliers; dashboard; alerts	SupplierAccountRepository.balancesBySupplierId/balanceForSupplier	Derived from SQLite supplier payload tables	Yes	High	Short for dashboard; low before payment	both with separated totals	SupplierAccountQueries.getBalances	Hybrid aggregate with provenance; server recheck for payment
GetSupplierAdvancesQuery	Supplier advance actions and financial reports	SupplierAccountRepository listAdvances/applications/refunds	SQLite supplier advance payload tables	Through controller and direct report readers	High	Short	both with per-item status	SupplierAccountQueries.getAdvances	Cache plus provisional overlay; server confirms remaining amount before mutation
