path	symbol	classification	responsibility	dependencies	consumers	reads	writes	side_effects	transaction_owner	business_logic	persistence_knowledge	ui_knowledge	cloud_readiness_risk
lib/main.dart	main	Bootstrap; partial Composition Root	Initialize framework, Firebase, repositories and trial; launch app	FirebaseBootstrap; AppRepositories; TrialService; TrialAppGate	Process entry	Trial evaluation	Trial state through service	Database/files/provider initialization	No	No	Knows concrete bootstrap services	Yes	High: root delegates to mutable static locator and separately constructs trial
lib/app/app_repositories.dart	AppRepositories	Composition Root; Service Locator; Global State; Singleton registry	Construct database, adapters, repositories and application-like services	FoundationDatabase; every repository family	43 feature/shared files plus app	All repository queries	All repository commands	Database lifecycle; service construction	Sometimes passes database transaction runner	No direct UI rules; substantial wiring policy	Explicit Drift/Local classes and database	No widget types	Critical: mutable statics, implicit lifetimes, stale captures, no business/session scope
lib/app/grain_warehouse_app.dart	_GrainWarehouseAppState.initState	Secondary composition root; UI app shell	Construct app-scoped Auth/Theme/BusinessIdentity controllers	AppRepositories auth/audit; LocalThemeSettingsRepository; LocalBusinessIdentityRepository	MaterialApp/AuthGate	Auth/theme/business identity	Theme and identity settings	Controller initialization/disposal	No	Controller orchestration only	Constructs Local implementations	Yes	High: duplicates infrastructure construction outside central root
lib/app/routes.dart	AppRoutes.routes	UI routing/bootstrap	Create screens with const constructors	Feature screens	MaterialApp	No	No	Widget construction	No	No	No	Yes	Medium: screens resolve hidden globals instead of receiving dependencies
lib/core/persistence/database_opener.dart	openProductionDatabase/openDatabaseFile	SQLite Adapter factory	Resolve application support file and open Drift database	path_provider; drift/native; FoundationDatabase	AppRepositories.initializeProduction	Filesystem path	Creates DB file/WAL	Filesystem/database startup	SQLite engine	No	Full SQLite knowledge	No	Medium: replaceable only through factory, but root hardcodes default
lib/core/persistence/foundation_database.dart	FoundationDatabase	SQLite Adapter; Transaction Boundary	Schema v15 and database transaction API	Drift generated database	All Drift repositories and root	All tables	All tables	SQLite transaction and migrations	Database.inTransaction	No	Full schema knowledge	No	Expected infrastructure concern; must remain behind adapters
lib/core/financial_accounts/repository_transaction.dart	RepositoryTransaction	Transaction Boundary utility	Serialize operations and rollback SnapshotHolder participants	TransactionSnapshotProvider	Controllers, services and repositories	Captures snapshots	Rolls back snapshots	Global serialization tail	Owns in-process rollback only	No	Knows repository snapshot protocol	No	High: not equivalent to one authoritative database/cloud transaction
lib/core/auth/auth_repository.dart	AuthRepository; LocalAuthRepository	Auth Boundary; Repository interface/implementation	Owner creation, sign-in, credential verification and current user	AppUser/credentials	AuthController; approval services	Users/session	Users/session	Credential/session state	Repository method	Auth validation	Local in-memory implementation	No	High: no tenant/business membership context
lib/core/auth/drift_auth_repository.dart	DriftAuthRepository	Repository Implementation; SQLite Adapter	Durable local auth profiles and in-memory current session	FoundationDatabase; password derivation	AppRepositories/AuthController/workflow	AuthAccounts	AuthAccounts; current session	Credential hashing	Database transaction for owner creation	Some auth rules	Full AuthAccounts knowledge	No	Critical for future: local credentials must be replaced by Supabase Auth/session adapter
lib/core/auth/auth_controller.dart	AuthController/AuthScope	Controller; Global/session UI scope	Expose login/first-owner/sign-out state	AuthRepository	Auth screens and app shell	Session	Session	Notify UI	No	Permission/session presentation checks	No	Yes	Medium: closest current Session boundary but lacks businessId/role membership contract
