id	severity	file	symbol	current_behavior	violated_future_rule	risk	recommended_migration_phase
V0-01	V0	lib/app/app_repositories.dart	AppRepositories static registry	Mutable process-global repositories/services are read directly by 43 feature/shared files	UI must depend on application commands/queries supplied by a scoped composition root	Cloud/local hybrid, BusinessContext and session changes would require broad UI edits	108E central application facade and dependency bundle skeleton
V0-02	V0	lib/core/sales/sale_controller.dart	SaleController.createSale/cancelSale	Presentation controller owns cross-repository sale, customer-ledger and financial-entry workflow via snapshots	One business command owns a non-UI logical transaction; server owns authoritative transaction	Partial/double posting risk when infrastructure becomes remote or mixed	108F migrate CreateSaleCommand end-to-end, then CancelSaleCommand
V0-03	V0	lib/core/purchases/drift_purchase_repository.dart and purchase_repository.dart	createPurchaseIntake/cancelPurchaseIntake	Repository implementation is both domain/application orchestrator and SQLite adapter across inventory, valuation, payable, cash and audit	Command handler owns orchestration; infrastructure adapter performs persistence only	Cannot substitute cloud adapter without moving business workflow or duplicating it server-side	108G extract purchase command boundary after first sale pattern
V0-04	V0	lib/core/customer_accounts/customer_account_repository.dart and lib/core/supplier_accounts/supplier_account_repository.dart	collections/payments/advances/refunds/reversals	Mixed read/write repositories hide multi-ledger business commands and financial postings	Every financial mutation enters an explicit command handler with one transaction owner	Cloud migration would expose dozens of repository verbs and client-side multi-step writes	108H migrate payment/advance command families
V0-05	V0	lib/core/financial_accounts/financial_account_repository.dart	createEntry plus transfer/closing/opening APIs	Broad repository exposes low-level accounting entry creation to other client components	UI/application callers invoke use-case commands, never compose authoritative ledger writes	Cloud clients could construct accounting postings or split invariants across calls	108I introduce FinancialCommandGateway and server-operation-shaped local adapter
V0-06	V0	lib/core/financial_accounts/repository_transaction.dart	RepositoryTransaction	Global serialized snapshot rollback is the cross-repository safety mechanism; it is not one cloud/database transaction	Authoritative server operation owns atomic transaction; local provisional write and outbox intent are atomic	Snapshots cannot guarantee remote atomicity, crash durability or exactly-once delivery	108J freeze/implement UnitOfWork boundary and durable outbox
V0-07	V0	No current application/session boundary	BusinessContext absent	No authenticated business membership, businessId, role/version or tenant propagation object exists	businessId comes only from verified SessionContext/BusinessContext and is supplied to every command/query	Tenant isolation cannot be safely added without manual leakage through screens/repositories	108K implement SessionContext and BusinessContext boundary before cloud data adapters
V0-08	V0	No durable pending-command store	Outbox absent	O3 offline mutations have no durable command envelope/lifecycle/reconciliation store	Local provisional mutation and durable sync intent are atomically persisted	Crash/retry may lose intent or double-post; provisional state cannot be reconciled	108J durable outbox and lifecycle persistence
V1-01	V1	lib/app/app_repositories.dart	static final reportRepository	LocalReportRepository lazily captures repository instances on first access and cannot be rebound after an environment/business-scope change	Composition root must wire the final scoped graph and dispose/rebuild it explicitly	Runtime adapter or business switching can leave reports bound to the previous graph; normal main ordering does not prove a current failure	108L centralize query composition and remove immutable captures
V1-02	V1	lib/app/grain_warehouse_app.dart	initState	UI layer directly constructs LocalThemeSettingsRepository and LocalBusinessIdentityRepository; identity repository also exists in AppRepositories	Only composition root constructs infrastructure; UI receives controllers/facades	Duplicate lifetimes/state and future business scoping divergence	108E move all app-scoped construction to root
