command_name	current_entry_point	current_implementation_chain	repositories_touched	tables_or_entities	accounting_impact	inventory_impact	atomicity_requirement	idempotency_requirement	offline_eligibility	o3_status	future_server_operation	expected_result_error_contract
CreateSaleCommand	features/sales/sales_screen.dart:SaleScreen->_controller.createSale	SaleController.createSale -> SaleRepository.createSale -> inventory/valuation -> customer account -> financial entries	Sale; ProductCatalogRead; Inventory; InventoryValuation; Customer; CustomerAccount; FinancialAccount	Sales; InventoryMovements; InventoryValuationState/Events; CustomerAccountEntries; FinancialAccountEntries	Revenue/receivable/cash and COGS	Decrease stock and value	One logical transaction across sale, stock, valuation, customer ledger, cash, audit	Required commandId stable across retries; current operationRequestId only partly covers path	Eligible when local policy permits	provisionalPending until server acceptance	Required authoritative transactional RPC/function	CommandResult<SaleId> with disposition provisional/confirmed; typed validation, authorization, conflict, insufficient-stock, minimum-price and retryable failures
CancelSaleCommand	features/sales/sales_screen.dart:SaleScreen->_controller.cancelSale	SaleController.cancelSale -> SaleRepository.cancelSale -> inventory/valuation reversal -> customer/financial reversal	Sale; Inventory; InventoryValuation; CustomerAccount; FinancialAccount	Sales; InventoryMovements; InventoryValuationEvents; CustomerAccountEntries; FinancialAccountEntries	Reverse revenue/receivable/cash and COGS	Restore stock/value	One logical transaction; reversal must be exactly-once	Required; current cancellation lacks command-level key	Eligible only with complete local facts and permissions	provisionalPending	Required authoritative transactional RPC/function	Existing cancellation or new cancellation id; typed already-cancelled, conflict, closed-period and approval failures
CreatePurchaseCommand	features/purchases/purchases_screen.dart:PurchaseScreen->_controller/workflow	PurchaseController or NegativeBalanceApprovalWorkflowService -> PurchaseRepository.createPurchaseIntake -> stock/valuation -> supplier ledger -> cash/audit	Purchase; Supplier; ProductCatalogRead; Inventory; InventoryValuation; SupplierAccount; FinancialAccount; Audit	Purchases; InventoryMovements; InventoryValuationState/Events; SupplierAccountEntries; FinancialAccountEntries; AuditLogs	Payable/cash	Increase stock and value	One logical transaction across every participant	Required; current operationRequestId plus fingerprint is a useful precursor	Eligible when local policy permits	provisionalPending	Required authoritative transactional RPC/function	CommandResult<PurchaseId>; typed validation, authorization, replay-mismatch, closed-period, approval and retryable failures
CancelPurchaseCommand	features/purchases/purchases_screen.dart:PurchaseScreen->_controller.cancelPurchaseIntake	PurchaseController -> PurchaseRepository.cancelPurchaseIntake -> stock/valuation/payable/cash reversal	Purchase; Inventory; InventoryValuation; SupplierAccount; FinancialAccount; Audit	Purchases; InventoryMovements; InventoryValuationEvents; SupplierAccountEntries; FinancialAccountEntries; AuditLogs	Reverse payable/cash	Decrease stock/value; blocked if consumed/mixed	One logical reversal transaction	Required; current API has no command id	Eligible only if local state proves safe	provisionalPending	Required authoritative transactional RPC/function	Cancellation id/status; typed already-cancelled, insufficient-stock, valuation-conflict and closed-period failures
RecordExpenseCommand	features/expenses/expenses_screen.dart:ExpensesScreen->_controller/workflow	ExpenseController or NegativeBalanceApprovalWorkflowService -> ExpenseRepository.createExpense -> financial entry/audit	Expense; FinancialAccount; Audit	Expenses; FinancialAccountEntries; AuditLogs	Expense and cash outflow	None	Expense, cash entry and audit atomically	Required; current operationRequestId plus fingerprint is a precursor	Eligible	provisionalPending	Required authoritative transactional RPC/function	Expense id and disposition; typed validation, replay-mismatch, approval, closed-period and retryable failures
ReclassifyExpenseCommand	features/expenses/expenses_screen.dart:ExpensesScreen->_controller.reclassifyExpense	ExpenseController -> ExpenseRepository.reclassifyExpense -> audit	Expense; Audit	Expenses; AuditLogs	Changes reporting classification	None	Expense update and audit atomically	Required in cloud	Eligible	provisionalPending	Required authoritative operation	Updated expense/version; typed owner-only, not-found and conflict failures
RecordCustomerPaymentCommand	features/customers/customers_screen.dart:CustomerController.recordCollection	CustomerController -> CustomerAccountRepository.createCollection -> financial entry/audit	CustomerAccount; Customer; FinancialAccount; Audit	CustomerCollections; CustomerAccountEntries; FinancialAccountEntries; AuditLogs	Reduce receivable/increase cash or create advance	None	Customer ledger, advance, cash and audit atomically	Required; operationRequestId should be mandatory	Eligible	provisionalPending	Required authoritative transactional RPC/function	Collection id and remaining balance; typed stale-balance, routing, replay and authorization failures
CancelCustomerPaymentCommand	currently repository capability; no primary screen entry confirmed	CustomerAccountRepository.cancelCollection -> reversals	CustomerAccount; FinancialAccount; Audit	CustomerCollections; CustomerAccountEntries; FinancialAccountEntries; AuditLogs	Reverse collection	None	One reversal transaction	Required; operationRequestId exists	Eligible	provisionalPending	Required authoritative transactional RPC/function	Cancellation id/status or already-resolved result; typed permission/conflict failures
RecordSupplierPaymentCommand	features/supplier_accounts/supplier_statement_screen.dart and features/suppliers/suppliers_screen.dart direct repository calls; SupplierController/workflow alternatives	UI or SupplierController/NegativeBalanceApprovalWorkflowService -> SupplierAccountRepository.createPayment -> financial entry/audit	SupplierAccount; Supplier; FinancialAccount; Audit	SupplierPayments; SupplierAccountEntries; FinancialAccountEntries; AuditLogs	Reduce payable/decrease cash or create supplier advance	None	Supplier ledger, advance, cash and audit atomically	Required; current operationRequestId/fingerprint is a precursor	Eligible	provisionalPending	Required authoritative transactional RPC/function	Payment id and balance; typed stale-balance, overpayment/negative-balance approval, replay and routing failures
CancelSupplierPaymentCommand	currently repository capability; no primary screen entry confirmed	SupplierAccountRepository.cancelPayment -> ledger/financial reversal	SupplierAccount; FinancialAccount; Audit	SupplierPayments; SupplierAccountEntries; FinancialAccountEntries; AuditLogs	Reverse supplier payment	None	One reversal transaction	Required; operationRequestId exists	Eligible	provisionalPending	Required authoritative transactional RPC/function	Cancellation id/status; typed permission, conflict and approval failures
